Област,Община,Населено място,Училище,Код по Админ,БЕЛ(ООП),,Мат(ПП),,Ист(ПП),,ФА(ПП),,ГИ(ПП),,ХООС(ПП),,Фил(ПП),,БЗО(ПП),,Инф(ПП),,ИТ(ПП),,МУЗ(ПП),,ИИ(ПП),,Пр(ПП),,АЕ(ПП),,,,,,РЕ(ПП),,,,,,НЕ(ПП),,,,,,ИсЕ(ПП),,,,,,ФЕ(ПП),,,,,,ИтЕ(ПП),,,,,,ДИППК-п.р,,ДИППК-тест,,ДИППК-Д.Пр,,ДИППК-пр.,
,,,,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,З,,З,,З,,З,
,,,,,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.
БУРГАС,БУРГАС,ГР.БУРГАС,Професионална техническа гимназия,200250,19,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4.19,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Професионална гимназия по сградостроителство и инсталации ""Пеньо Пенев""",200252,17,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.8,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Вечерно средно училище "" Захари Стоянов""",200255,42,2.73,,,2,2.73,,,4,2.63,,,13,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2.99,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,Частна профилирана гимназия с изучаване на английски език Британика 1998,200258,12,04.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,04.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,БУРГАС,ГР.БУРГАС,"Национално училище за музикално и сценично изкуство "" Проф. Панчо Владигеров""",2902103,49,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,4.63,,,,
БУРГАС,КАМЕНО,ГР.КАМЕНО,"Средно училище ""Христо Ботев""",200308,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2.39,,,,
БУРГАС,КАРНОБАТ,ГР.КАРНОБАТ,"Средно училище ""Св.Св.Кирил и Методий""",200411,54,3.97,,,,,,,4,3.32,,,,,9,4.37,,,,,,,,,19,4.22,,,,,19,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,КАРНОБАТ,ГР.КАРНОБАТ,"Средно училище ""Христо Ботев""",200412,54,3.93,,,10,04.09,,,,,,,10,04.07,21,04.01,1,2,,,,,,,,,,,,,10,4.98,,,1,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,КАРНОБАТ,ГР.КАРНОБАТ,Професионална гимназия по селско стопанство,200413,51,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,3.92,,,,,,
БУРГАС,МАЛКО ТЪРНОВО,ГР.МАЛКО ТЪРНОВО,"Средно училище""Васил Левски""",200503,17,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2.86,,,,,,
БУРГАС,НЕСЕБЪР,ГР.НЕСЕБЪР,"Средно училище ""Любен Каравелов""",200608,52,3.46,,,1,4.29,,,,,,,16,3.37,,,,,,,,,,,5,3.64,,,,,24,4.12,,,5,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,НЕСЕБЪР,ГР.НЕСЕБЪР,"Професионална гимназия по туризъм ""Иван Вазов""",200609,46,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,3.3,,,,
БУРГАС,ПОМОРИЕ,ГР.ПОМОРИЕ,"Средно училище ""Иван Вазов""",200711,24,3.88,,,,,,,1,03.07,,,,,,,,,,,,,,,,,,,,,19,3.82,,,4,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,ПОМОРИЕ,ГР.ПОМОРИЕ,"Професионална гимназия по туризъм ""Алеко Константинов""",200712,23,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4.92,,,,
БУРГАС,ПРИМОРСКО,ГР.ПРИМОРСКО,"Средно училище ""Никола Йонков Вапцаров""",200803,14,2.91,,,,,,,13,2.61,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,РУЕН,С.ЛЮЛЯКОВО,"Средно Училище "" Отец Паисий""",200931,32,3.21,,,,,,,,,,,,,32,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,РУЕН,С.РУЕН,"Средно училище ""Елин Пелин""",200932,96,3.49,,,,,,,37,3.26,,,,,54,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,РУЕН,С.ТРЪНАК,"Средно училище "" Димитър Полянов""",200929,34,3.81,,,,,,,17,3.52,,,,,14,04.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,СОЗОПОЛ,ГР.СОЗОПОЛ,"Средно училище ""Св. св. Кирил и Методий""",201009,28,2.24,,,,,,,,,1,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2.73,,,,,,
БУРГАС,СРЕДЕЦ,ГР.СРЕДЕЦ,"Средно училище ""Свети Свети Кирил и Методий""",201104,9,3,,,,,,,8,2.3,,,,,,,,,7,2,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БУРГАС,СРЕДЕЦ,ГР.СРЕДЕЦ,"Професионална гимназия по механизация на селското стопанство и електроника ""Никола Йонков Вапцаров""",201106,23,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,03.01,,,,,,
БУРГАС,СУНГУРЛАРЕ,ГР.СУНГУРЛАРЕ,"Средно училище ""Христо Ботев""",201212,48,2.68,1,05.03,,,,,,,,,,,8,2,,,9,2.36,,,,,,,3,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2.11,,,,,,
БУРГАС,ЦАРЕВО,ГР.ЦАРЕВО,"Средно училище ""Никола Йонков Вапцаров""",201305,53,3.42,,,1,3.19,,,,,,,,,43,2.31,,,,,,,,,,,,,,,5,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,АВРЕН,С.АВРЕН,"Частно средно училище ""Юрий Гагарин""",403559,9,3.99,,,4,3.87,,,,,,,,,,,,,1,3.49,,,,,,,,,,,4,05.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,АВРЕН,С.СИНДЕЛ,"Средно училище ""Св. Св. Кирил и Методий""",400084,9,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4.21,,,,,,
ВАРНА,АКСАКОВО,ГР.АКСАКОВО,"Средно училище ""Свети Климент Охридски""",400087,20,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4.44,,
ВАРНА,АКСАКОВО,С.ИГНАТИЕВО,"Средно училище ""Свети Свети Кирил и Методий""",400090,35,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3.47,,,,,,
ВАРНА,БЕЛОСЛАВ,ГР.БЕЛОСЛАВ,"Средно училище ""Св. св. Кирил и Методий""",400096,25,3.41,,,,,,,1,3.83,,,,,1,3.23,,,5,3.16,,,,,19,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,БЕЛОСЛАВ,ГР.БЕЛОСЛАВ,"Професионална гимназия ""Свети Димитър Солунски""",400098,29,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,4.27,,,,,,
ВАРНА,БЯЛА,ГР.БЯЛА,Професионална гимназия по селско стопанство и туризъм,400106,15,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,04.04,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Седмо средно училище ""Найден Геров""",400030,47,3.53,1,3.55,,,,,,,,,,,,,10,04.04,11,2.99,,,,,,,,,,,26,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Средно училище с езиково обучение ""Ал. С. Пушкин""",400031,102,4.54,,,2,5.1,,,4,4.51,,,,,,,,,,,,,,,,,,,38,5.57,48,4.68,,,1,5,9,05.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Спортно училище ""Георги Бенковски""",400033,61,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,4.4,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Средно училище ""Гео Милев""",400034,46,3.82,,,2,4.41,,,,,,,,,3,2.99,,,,,,,,,,,,,11,4.54,20,4.15,,,,,12,3.21,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Средно училище ""Елин Пелин""",400036,11,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.89,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Средно училище ""Любен Каравелов""",400037,20,2.65,,,10,3.36,,,,,,,,,2,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Средно училище ""Пейо Крачолов Яворов""",400039,21,2.98,,,,,,,,,,,,,2,3.14,,,18,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Средно училище ""Свети Климент Охридски""",400040,47,4.45,5,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,42,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Трета природоматематическа гимназия ""Академик Методий Попов""",400041,134,4.56,,,,,,,3,4.46,9,3.76,,,34,4.31,,,3,3.32,,,,,,,,,,,68,4.5,,,,,,,,,,,14,4.26,,,,,,,,,,,3,04.06,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"ІV Езикова гимназия ""Фредерик Жолио - Кюри""",400042,210,4.74,6,3.24,2,5.14,,,4,3.81,,,5,4.34,4,4.25,,,2,4.22,,,,,,,,,159,5.72,,,,,,,,,,,,,,,,,,,8,4.51,,,,,20,4.98,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Гимназия с преподаване на чужди езици ""Йоан Екзарх""",400043,184,4.93,11,4.36,2,4.85,,,,,,,3,4.59,,,,,2,3.66,,,,,,,,,102,5.81,48,4.98,,,,,,,,,,,13,5.3,,,,,,,,,1,5.69,2,4.7,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Професионална гимназия по икономика ""Д-р Иван Богоров""",400044,146,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,4.22,,,97,4.86,,
ВАРНА,ВАРНА,ГР.ВАРНА,Първа езикова гимназия,400045,240,5.18,33,4.18,,,,,,,,,,,,,,,,,,,,,,,,,82,5.88,96,5.26,,,,,,,,,2,5.53,27,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Математическа гимназия ""Д-р Петър Берон""",400046,185,5.13,142,4.58,,,,,,,,,,,16,4.95,1,5.59,3,4.93,,,,,,,,,,,23,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Средно училище за хуманитарни науки и изкуства ""Константин Преславски""",400047,227,4.25,,,9,4.53,,,19,4.24,,,12,4.16,21,3.63,,,1,2,17,4.58,10,4.84,21,4.61,,,23,5.75,64,4.86,,,7,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,23,4.82,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Специално училище за ученици с нарушено зрение ""Проф. д-р Иван Шишманов""",400054,2,4.14,,,,,,,,,,,,,2,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,Професионална техническа гимназия,400055,175,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,4.48,,,37,5.29,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Професионална гимназия по химични и хранително-вкусови технологии ""Дм.Ив.Менделеев""",400058,31,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,04.03,,,26,4.77,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Частно средно училище ""Аз съм българче""",400061,6,4.21,,,,,,,,,,,,,,,,,2,2.67,,,,,1,3.91,,,1,4.68,2,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Професионална гимназия по строителство архитектура и геодезия ""Васил Левски""",400063,43,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,49,4.1,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Частна Търговска Гимназия ""Конто Трейд"" ЕООД",400070,5,04.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.53,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Частна профилирана гимназия ""Антоан дьо Сент-Екзюпери""",400074,21,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5.82,1,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Частна езикова гимназия с изучаване на чужди езици ""Джордж Байрон""",400076,13,3.73,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,10,04.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,Професионална гимназия по компютърно моделиране и компютърни системи,400104,40,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,05.05,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Варненска търговска гимназия ""Георги Стойков Раковски""",402030,160,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,5.49,,
ВАРНА,ВАРНА,ГР.ВАРНА,Професионална гимназия по текстил и моден дизайн,402161,51,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,4.18,,,14,4.94,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Професионална гимназия по горско стопанство и дървообработване ""Николай Хайтов""",402172,45,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,4.21,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Варненска морска гимназия ""Свети Николай Чудотворец""",402183,70,03.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3.81,,,37,04.07,,
ВАРНА,ВАРНА,ГР.ВАРНА,Професионална гимназия по електротехника,403531,123,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3.68,,,93,4.66,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Професионална гимназия по туризъм ""Професор д-р Асен Златаров""",403534,146,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,3.98,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Средно училище ""Димчо Дебелянов""",403537,46,3.48,,,,,,,5,3.34,,,,,7,2.61,,,,,,,,,12,3.88,,,,,17,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Средно училище ""Неофит Бозвели""",403538,30,2.83,,,,,,,1,2,,,,,17,2.28,1,2,1,2,,,,,,,,,,,13,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Частно средно училище ""Мечтатели""",403558,3,4.76,1,03.09,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"Частно средно училище ""Монтесори Варна"" ООД",403564,2,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ВАРНА,ГР.ВАРНА,"НАЦИОНАЛНО УЧИЛИЩЕ ПО ИЗКУСТВАТА ""ДОБРИ ХРИСТОВ""",2902106,67,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,4.8,,,,
ВАРНА,ВЕТРИНО,С.ВЕТРИНО,"Средно училище ""Христо Ботев""",400108,22,03.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3.88,,,3,5.37,,
ВАРНА,ВЪЛЧИ ДОЛ,ГР.ВЪЛЧИДОЛ,"Средно училище ""Васил Левски""",400112,28,3.26,,,7,3.84,,,7,2.98,,,,,3,2,,,5,04.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,
ВАРНА,ВЪЛЧИ ДОЛ,С.СТЕФАН КАРАДЖА,Професионална гимназия по земеделие и горско стопанство,400113,15,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3.48,,,,,1,
ВАРНА,ДЕВНЯ,ГР.ДЕВНЯ,"Среднo училище ""Васил Левски""",400123,24,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.42,,,15,3.45,,
ВАРНА,ДОЛНИ ЧИФЛИК,ГР.ДОЛНИ ЧИФЛИК,"Средно училище ""Васил Левски""",400126,30,2.98,,,,,,,17,3.23,,,,,11,2.76,,,1,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ДОЛНИ ЧИФЛИК,ГР.ДОЛНИ ЧИФЛИК,"Професионална гимназия по селско стопанствo ""Иван Владимирович Мичурин""",400127,25,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3.26,,,,,,
ВАРНА,ДЪЛГОПОЛ,ГР.ДЪЛГОПОЛ,"Средно училище ""Свети Климент Охридски""",400136,38,2.88,,,,,,,,,,,8,2.85,15,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3.38,,,,,,
ВАРНА,ДЪЛГОПОЛ,С.МЕДОВЕЦ,"Средно училище ""Назъм Хикмет""",400142,18,2.55,,,,,,,12,2.52,,,,,5,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ПРОВАДИЯ,ГР.ПРОВАДИЯ,"Средно училище ""Димитър Благоев""",400148,53,04.07,,,13,4.35,,,4,3.98,,,,,3,2.56,,,,,,,,,17,4.15,,,,,17,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВАРНА,ПРОВАДИЯ,ГР.ПРОВАДИЯ,"Професионална гимназия по хотелиерство ресторантьорство и туризъм ""Цар Симеон Велики""",400149,29,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2.52,,,,,,
ВАРНА,ПРОВАДИЯ,ГР.ПРОВАДИЯ,"Професионална гимназия по селско стопанство ""Земя""",400150,56,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,3.34,,,,,,
ВАРНА,СУВОРОВО,ГР.СУВОРОВО,"Средно училище ""Никола Йонков Вапцаров""",400163,16,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5.23,,,,,,
ВАРНА,СУВОРОВО,ГР.СУВОРОВО,"Професионална гимназия по селско стопанство ""Свети Георги Победоносец""",400166,5,03.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,04.09,,,,,,
ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,"Профилирана Хуманитарна гимназия "" Свети свети Кирил и Методий""",300121,2,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.32,,,,,,
ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,"Природо-математическа гимназия ""Васил Друмев""",300122,126,4.77,37,3.53,,,,,1,3.23,1,5.75,,,11,4.81,1,5.77,7,04.02,,,,,,,,,,,39,4.79,,,,,,,,,,,4,4.52,,,,,,,,,,,,,,,,,,,,,,,27,05.07,,
ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,"Профилирана езикова гимназия ""Проф. д-р Асен Златаров""",300123,126,4.65,,,4,4.93,,,3,04.06,,,5,4.24,,,,,,,,,,,,,,,56,5.76,47,5.13,,,1,5.86,,,,,,,4,5.43,,,,,5,5.62,,,,,2,5.77,,,,,,,,,,,,,,
ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,"Средно училище ""Емилиян Станев""",300124,70,4.19,,,,,,,,,,,,,,,2,5.46,5,3.65,4,4.11,7,3.94,,,,,,,27,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,5.73,,
ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,"Средно училище ""Вела Благоева""",300125,8,3.28,,,,,,,,,,,,,,,,,,,,,,,4,03.09,4,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,"Средно училище ""Владимир Комаров""",300126,3,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.38,,
ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,"Професионална гимназия по строителство архитектура и геодезия ""Ангел Попов""",300128,91,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,3.96,,,5,5.23,,
ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,Старопрестолна професионална гимназия по икономика,300129,65,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4.58,,
ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,"Професионална гимназия по електроника ""Александър Степанович Попов""",300130,29,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4.87,,
ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,Професионална гимназия по моден дизайн,300131,15,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.16,,,7,4.62,,
ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,"Професионална гимназия по туризъм ""Д-р Васил Берон""",300132,66,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,3.48,,,22,4.96,,
ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,"Частна профилирана гимназия ""АК - Аркус"" ЕООД",300141,55,4.75,1,3.97,,,,,,,,,,,4,3.5,,,1,2,,,,,,,,,,,45,05.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.1,,
